级别,规则,单词,音标,分块,分块音标,类型,说明
WARN,weak_visual_split,excited,/ɪkˈsaɪtɪd/,e | x | c | i | t | ed,,vowel consonant consonant vowel consonant suffix,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,excitement,/ɪkˈsaɪtmənt/,e | x | c | i | t | e | ment,,vowel consonant consonant vowel consonant vowel suffix,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,exciting,/ɪkˈsaɪtɪŋ/,e | x | c | i | t | ing,,vowel consonant consonant vowel consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,exciting,/ɪkˈsaɪtɪŋ/,e | x | c | i | t | ing,,vowel consonant consonant vowel consonant suffix,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,expression,/ɪkˈspreʃn/,e | x | pr | es | sion,,vowel consonant consonant suffix suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,fairest,/feə/,f | air | es | t,,consonant vowel_team suffix consonant,高风险拼读组合 `ire` 没有作为整体分块。
WARN,risky_word_without_sounds,fairest,/feə/,f | air | es | t,,consonant vowel_team suffix consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,famous,/ˈfeɪməs/,f | a | m | ou | s,,consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,fascinating,/ˈfæsɪneɪtɪŋ/,f | a | sc | i | n | a | t | ing,,consonant vowel consonant vowel consonant vowel consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,favourite,/ˈfeɪvəɪt/,f | a | v | ou | r | i | t | e,,consonant vowel consonant vowel_team consonant vowel consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,ed_not_grouped,feed,/fiːd/,f | ee | d,/f/ /iː/ /d/,consonant vowel_team consonant,`-ed` 词尾没有作为整体分块。
WARN,risky_word_without_sounds,finger,/ˈfɪŋɡə/,f | ing | er,,consonant suffix r_controlled,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,flood,/flʌd/,fl | oo | d,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,floor,/flɔː/,fl | oo | r,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,four,/fɔː/,f | ou | r,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,fourteen,/ˌfɔːˈtiːn/,f | ou | r | t | ee | n,,consonant vowel_team consonant consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,fourth,/fɔːθ/,f | ou | r | th,,consonant vowel_team consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,friendship,/ˈfrendʃɪp/,fr | ie | n | d | sh | i | p,,consonant vowel_team consonant consonant consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,frighten,/ˈfraɪtn/,fr | igh | t | e | n,,consonant vowel_team consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,frightened,/ˈfraɪtnd/,fr | igh | t | e | n | ed,,consonant vowel_team consonant vowel consonant suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,gatekeeper,/ˈɡeɪtkiːpə/,g | a | t | e | k | ee | p | er,,consonant vowel consonant vowel consonant vowel_team consonant r_controlled,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,gatekeeper,/ˈɡeɪtkiːpə/,g | a | t | e | k | ee | p | er,,consonant vowel consonant vowel consonant vowel_team consonant r_controlled,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,generosity,/ˌdʒenəˈrɒsəti/,g | e | n | er | o | s | i | t | y,,consonant vowel consonant r_controlled vowel consonant vowel consonant consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,geography,/dʒiˈɒɡrəfi/,g | e | o | gr | a | ph | y,,consonant vowel vowel consonant vowel consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,given,/ˈɡɪvn/,g | i | v | e | n,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,go hiking,/ɡəʊˈhaɪkɪŋ/,go hiking,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,ing_not_grouped,go hiking,/ɡəʊˈhaɪkɪŋ/,go hiking,,word,`-ing` 词尾没有作为整体分块。
WARN,risky_word_without_sounds,good idea,/gʊdaɪˈdiə/,good idea,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,good job,/gʊddʒɑb/,good job,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,graduate,/ˈɡrædʒuət/,gr | a | d | u | a | t | e,,consonant vowel consonant vowel vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,graduation,/ˌɡrædʒuˈeɪʃn/,gr | a | d | u | a | tion,,consonant vowel consonant vowel vowel suffix,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,grandchild,/ˈɡræntʃaɪld/,gr | a | n | d | ch | i | l | d,,consonant vowel consonant consonant consonant vowel consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,grandfather,/ˈɡrænfɑːðə/,gr | a | n | d | f | a | th | er,,consonant vowel consonant consonant consonant vowel consonant r_controlled,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,grandfather,/ˈɡrænfɑːðə/,gr | a | n | d | f | a | th | er,,consonant vowel consonant consonant consonant vowel consonant r_controlled,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,grandma,/ˈɡrænmɑː/,gr | a | n | d | m | a,,consonant vowel consonant consonant consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,grandmother,/ˈɡrænmʌðə/,gr | a | n | d | m | o | th | er,,consonant vowel consonant consonant consonant vowel consonant r_controlled,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,grandmother,/ˈɡrænmʌðə/,gr | a | n | d | m | o | th | er,,consonant vowel consonant consonant consonant vowel consonant r_controlled,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,grandpa,/ˈɡrænpɑː/,gr | a | n | d | p | a,,consonant vowel consonant consonant consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,grandparent,/ˈɡrænpeəənt/,gr | a | n | d | p | are | n | t,,consonant vowel consonant consonant consonant vowel_team consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,grandparents,/ˈgrændpeəənts/,gr | a | n | d | p | are | n | t | s,,consonant vowel consonant consonant consonant vowel_team consonant consonant consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,grandson,/ˈɡrænsʌn/,gr | a | n | d | s | o | n,,consonant vowel consonant consonant consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,great,/ɡreɪt/,gr | ea | t,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,guide,/ɡaɪd/,g | ui | d | e,,consonant vowel_team consonant vowel,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,guitar,/ɡɪˈtɑː/,g | ui | t | ar,,consonant vowel_team consonant r_controlled,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,half-way,/ˌhɑːfˈweɪ/,half-way,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,halfway,/ˌhɑːfˈweɪ/,h | al | f | w | ay,,consonant vowel consonant consonant vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,high_risk_pattern_split,hamburger,/ˈhæmbɜːɡə/,h | a | m | b | ur | g | er,/h/ /æ/ /m/ /b/ /ɜː/ /g/ /ə/,consonant vowel consonant consonant r_controlled consonant r_controlled,高风险拼读组合 `mb` 没有作为整体分块。
WARN,weak_visual_split,hands,/hænd/,h | a | n | d | s,,consonant vowel consonant consonant consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,handsome,/ˈhænsəm/,h | a | n | d | s | o | m | e,,consonant vowel consonant consonant consonant vowel consonant vowel,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,hard-working,/hɑːdˈwɜːkɪŋ/,hard-working,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,ing_not_grouped,hard-working,/hɑːdˈwɜːkɪŋ/,hard-working,,word,`-ing` 词尾没有作为整体分块。
WARN,risky_word_without_sounds,have a headache,/hævəˈhɛˌdeɪk/,have a headache,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,have a toothache,/hæveiˈtuːθeɪk/,have a toothache,,word,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,heart,/hɑːt/,h | ear | t,,consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,heaven,/ˈhevn/,h | ea | v | e | n,,consonant vowel_team consonant vowel consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,height,/haɪt/,h | e | igh | t,,consonant vowel vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,risky_word_without_sounds,holiday,/ˈhɒlədeɪ/,h | o | l | i | d | ay,,consonant vowel consonant vowel consonant vowel_team,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,holiday,/ˈhɒlədeɪ/,h | o | l | i | d | ay,,consonant vowel consonant vowel consonant vowel_team,连续单字母视觉拆分过长，教学价值低。
WARN,risky_word_without_sounds,hometown,/ˈhəʊmtaʊn/,h | o | m | e | t | ow | n,,consonant vowel consonant vowel consonant vowel_team consonant,包含高风险拼读组合，但没有可靠分块音标。
WARN,weak_visual_split,hometown,/ˈhəʊmtaʊn/,h | o | m | e | t | ow | n,,consonant vowel consonant vowel consonant vowel_team consonant,连续单字母视觉拆分过长，教学价值低。
WARN,weak_visual_split,honey,/ˈhʌni/,h | o | n | e | y,,consonant vowel consonant vowel consonant,连续单字母视觉拆分过长，教学价值低。
